2014 SVI Minority Status Encoding,2015 SVI Minority Status Encoding,2016 SVI Minority Status Encoding,2017 SVI Minority Status Encoding,2018 SVI Minority Status Encoding,2019 SVI Minority Status Encoding,2020 SVI Minority Status Encoding
42.121597,42.404568,42.687954,42.657246,42.626846,42.585854,42.544476
49.598564,49.46265,49.325275,49.35747,49.38976,49.634033,49.876556
-54.733086,-54.852295,-54.970104,-54.677956,-54.386063,-54.44425,-54.503952
30.384352,30.559381,30.732965,30.644087,30.55684,30.573378,30.590816
34.407455,34.385414,34.36415,34.24682,34.127884,34.389534,34.650833
-61.568798,-61.451336,-61.333893,-61.13602,-60.938206,-60.935127,-60.931503
-5.4375596,-5.3012004,-5.165281,-5.1886888,-5.2120767,-5.1424985,-5.0712647
6.3682337,6.775075,7.1824217,7.2344227,7.2847347,7.2902613,7.2953596
19.524965,19.356655,19.189764,19.078999,18.969019,18.917274,18.863634
43.49395,43.528633,43.56427,43.374115,43.184395,43.040096,42.89602
-11.974724,-12.195132,-12.416264,-12.642579,-12.87022,-12.988673,-13.108038
17.909176,17.950678,17.991846,17.930618,17.869614,17.810297,17.750679
24.445316,24.599134,24.752665,24.480125,24.207008,24.362026,24.517744
19.73552,19.771742,19.806713,19.926722,20.046434,20.506573,20.967339
20.682987,20.712845,20.743614,20.678774,20.611753,20.50073,20.390627
-1.7511823,-1.7797554,-1.8093784,-1.6509082,-1.4924963,-1.3931167,-1.2931192
-5.2982683,-5.263197,-5.227557,-5.0962315,-4.96461,-5.205408,-5.4448137
-12.736706,-13.012735,-13.28969,-13.401417,-13.513159,-13.648109,-13.784769
-26.542585,-26.584473,-26.625921,-26.88824,-27.15101,-27.367731,-27.584673
24.992365,25.081858,25.171911,25.135517,25.098198,24.966341,24.834162
48.4071,48.50945,48.610622,48.65989,48.708908,48.90404,49.099186
-10.392786,-10.565946,-10.737537,-10.993055,-11.248137,-11.292458,-11.336608
68.49814,68.41879,68.33911,68.47746,68.61609,68.439064,68.26261
18.50682,18.295128,18.083706,17.905031,17.7256,17.688168,17.650671
75.77576,75.86924,75.96083,75.95925,75.95741,75.94354,75.9299
-71.4117,-71.43985,-71.46819,-71.44006,-71.41219,-71.59358,-71.77588
-40.56907,-40.542244,-40.51472,-40.07521,-39.63587,-39.70191,-39.76804
-96.6148,-96.53633,-96.45996,-96.811066,-97.16409,-96.86507,-96.56705
10.834925,10.876448,10.9179,11.136191,11.3540535,11.600087,11.845741
-41.50016,-41.689358,-41.8789,-41.88482,-41.89023,-41.864525,-41.83777
41.54239,41.999638,42.45626,42.511528,42.567745,42.220818,41.87519
95.60227,95.84141,96.07888,95.93936,95.80079,95.847176,95.89426
-16.990175,-16.867886,-16.746817,-16.80731,-16.866913,-16.802286,-16.737103
48.683807,48.538044,48.391293,48.160835,47.929756,47.85355,47.776943
-81.51331,-81.643,-81.77148,-81.77296,-81.774864,-81.64959,-81.526985
26.532015,26.815172,27.097471,27.254341,27.410423,27.585752,27.763197
-11.014817,-11.058026,-11.100034,-11.329646,-11.560017,-11.346276,-11.132456
-86.86838,-86.813034,-86.75693,-86.63138,-86.5065,-86.35493,-86.204895
26.033598,26.052355,26.071032,25.921988,25.774908,25.363268,24.950975
48.83381,48.915356,48.995777,48.823433,48.65148,49.016823,49.382572
-47.34828,-47.347134,-47.345123,-47.647808,-47.950283,-47.78558,-47.621548
-93.49447,-93.66394,-93.83073,-93.87337,-93.91697,-94.1797,-94.44261
47.924316,47.936035,47.94729,47.94436,47.942696,47.653732,47.366158
-57.73423,-57.83332,-57.931946,-57.586372,-57.240566,-57.27498,-57.30914
53.267853,53.22945,53.191727,52.955666,52.720154,53.09833,53.475597
15.672964,15.679625,15.686299,15.932485,16.179707,16.415352,16.65155
-28.211582,-28.25229,-28.29322,-28.40258,-28.511143,-28.304523,-28.096096
106.44756,106.5418,106.635475,106.05077,105.46625,105.2918,105.116554
-50.572395,-50.451855,-50.330776,-50.329823,-50.329414,-49.856583,-49.38399
-11.0554085,-10.956602,-10.858426,-10.537703,-10.217673,-10.259583,-10.301931
58.635643,58.656776,58.6779,58.336132,57.99381,57.876713,57.75917
30.901276,30.884644,30.866861,30.99369,31.121038,31.253855,31.384283
-27.269182,-27.168495,-27.069096,-27.288483,-27.508196,-27.238817,-26.969872
68.03742,68.06814,68.09795,67.97988,67.86171,67.76664,67.6697
21.140177,21.059288,20.978346,20.984728,20.99108,21.033205,21.074633
65.7883,66.00886,66.23008,66.17298,66.114105,65.97809,65.841774
8.11304,8.073697,8.033345,8.1893,8.345281,7.9998336,7.653499
46.60988,46.434708,46.259605,45.971138,45.683422,45.530357,45.37871
-1.4028332,-1.4993241,-1.5971787,-1.4682305,-1.3388703,-1.337867,-1.3367016
-33.698135,-33.698124,-33.697426,-33.688175,-33.678772,-33.589985,-33.50205
1.2866254,1.3209357,1.3572001,1.2831635,1.208076,1.5245585,1.8401961
-19.743202,-19.589333,-19.436256,-19.555492,-19.675186,-19.74273,-19.8106
2.4018204,2.846904,3.2923615,2.781709,2.2706368,2.3506787,2.4305985
68.62869,68.744156,68.8596,68.714355,68.57133,68.58094,68.58975
-37.162933,-37.22932,-37.295662,-36.99626,-36.698296,-37.093773,-37.488842
36.010147,35.90721,35.8027,36.031944,36.26107,36.07618,35.89119
11.900732,11.878301,11.857197,11.931021,12.004802,12.248224,12.4920025
-14.557579,-14.361055,-14.1642685,-14.294881,-14.42578,-14.740556,-15.054928
-6.5709653,-6.5816183,-6.5923605,-6.665518,-6.739179,-6.884208,-7.0270033
17.44178,17.44391,17.445816,17.538654,17.632824,17.638754,17.644777
62.77815,62.78902,62.799103,62.850067,62.900368,62.80888,62.71583
47.508698,47.46412,47.41993,47.52108,47.621693,47.666534,47.710854
42.334965,42.83993,43.345463,43.132786,42.92042,43.05022,43.17994
53.650383,53.540974,53.430645,53.248035,53.065083,53.431873,53.79788
-18.659752,-18.593128,-18.526249,-18.370188,-18.21502,-18.073706,-17.932901
-11.77771,-11.83657,-11.894714,-11.864769,-11.835175,-12.090805,-12.345217
-26.259762,-26.240654,-26.221954,-26.282835,-26.342361,-26.162445,-25.981731
84.531364,84.65273,84.77587,84.6152,84.45699,84.03466,83.611534
-68.98503,-69.06015,-69.1346,-68.624664,-68.11737,-67.80209,-67.48888
-47.53292,-47.68473,-47.837006,-48.04277,-48.24815,-48.241596,-48.234455
22.42471,22.4846,22.541925,22.576393,22.61171,22.593899,22.577103
15.460539,15.534088,15.607943,15.944312,16.280085,16.392942,16.506834
