2014 SVI Aged 17 or Younger Encoding,2015 SVI Aged 17 or Younger Encoding,2016 SVI Aged 17 or Younger Encoding,2017 SVI Aged 17 or Younger Encoding,2018 SVI Aged 17 or Younger Encoding,2019 SVI Aged 17 or Younger Encoding,2020 SVI Aged 17 or Younger Encoding
-26.00055,-25.973225,-25.94638,-26.478107,-27.010092,-28.233065,-29.45496
11.924436,11.972225,12.021299,11.118927,10.216818,8.824308,7.4320726
86.86467,86.928375,86.99266,86.18422,85.37663,85.03857,84.7003
-77.19953,-78.804985,-80.41082,-80.602615,-80.79494,-80.91985,-81.04546
-18.965681,-19.307386,-19.64521,-20.211824,-20.77644,-19.972383,-19.168016
-88.659225,-89.23936,-89.822105,-89.736275,-89.65204,-88.38355,-87.11585
-50.547695,-51.311535,-52.07513,-50.930065,-49.78478,-49.5763,-49.36771
14.811458,15.0619135,15.310831,15.622823,15.933759,15.496324,15.05775
1.7452775,1.7022148,1.6603218,2.031924,2.4042628,2.1155035,1.8250724
18.4693,18.920116,19.372177,18.757582,18.143822,17.728235,17.311794
7.7874756,7.795576,7.803862,7.800176,7.796547,7.958394,8.120915
50.92286,51.296036,51.66815,51.163544,50.65849,49.37095,48.084526
99.75276,99.8174,99.882805,99.74381,99.60585,100.134186,100.663414
11.323842,11.248615,11.173164,10.8242235,10.474583,10.994431,11.515335
-93.67149,-94.35339,-95.03498,-94.50617,-93.97835,-93.618,-93.25893
-85.247955,-85.22807,-85.20685,-84.740875,-84.27536,-84.21303,-84.152145
15.189693,15.352677,15.513188,15.410227,15.305132,15.532688,15.761139
15.794781,15.505536,15.214995,16.316006,17.417507,17.705074,17.993328
-67.967606,-68.07893,-68.189415,-67.03996,-65.89009,-65.492805,-65.0952
25.565771,25.651937,25.737968,24.461779,23.18569,22.871498,22.55817
34.04805,34.1247,34.200363,34.559105,34.91887,34.17287,33.42829
23.062862,23.60571,24.15051,24.259443,24.3685,23.70364,23.037987
-12.490318,-13.050226,-13.609776,-13.450863,-13.293289,-13.929649,-14.564945
-44.624226,-44.926407,-45.2284,-45.584972,-45.943356,-45.728523,-45.514095
-36.521393,-37.51277,-38.505646,-38.698174,-38.892143,-38.03485,-37.178047
-61.994503,-62.266502,-62.537476,-62.55347,-62.569836,-62.67313,-62.775482
99.289024,99.66931,100.04931,98.15388,96.25776,95.76743,95.27788
-18.753555,-19.180437,-19.608835,-19.321081,-19.034758,-19.088175,-19.141264
-12.783727,-13.358065,-13.932579,-13.897341,-13.862864,-14.746257,-15.628593
39.448086,39.612495,39.77698,39.921543,40.06545,39.694614,39.32513
49.11804,49.09763,49.07671,49.260323,49.44371,48.890194,48.336998
13.685283,13.778492,13.869881,13.527989,13.185143,13.47521,13.765396
112.70276,113.03865,113.372375,112.20125,111.03084,110.39702,109.76448
87.746284,87.39658,87.048645,86.34169,85.634834,86.20101,86.76854
5.0087333,4.656094,4.304783,4.874649,5.445053,4.7386303,4.032921
10.5169115,10.286777,10.056416,10.43489,10.813681,10.714487,10.615733
-5.6612983,-5.7149243,-5.7678924,-5.7680078,-5.7683425,-5.699554,-5.630243
-45.251343,-46.293907,-47.33822,-47.182854,-47.028038,-45.88141,-44.73517
7.8382955,7.8147736,7.7921114,7.288289,6.785934,6.048051,5.3082156
36.355396,36.429497,36.503986,36.7397,36.97484,36.308887,35.643295
