2014 SVI Below Poverty Encoding,2015 SVI Below Poverty Encoding,2016 SVI Below Poverty Encoding,2017 SVI Below Poverty Encoding,2018 SVI Below Poverty Encoding,2019 SVI Below Poverty Encoding,2020 SVI Below Poverty Encoding
-73.19686,-73.88303,-74.56895,-73.81335,-73.05796,-74.238304,-75.41868
-1.2641925,-1.4621118,-1.6601342,-2.061586,-2.4633107,-3.7300553,-4.9969816
62.583076,62.68787,62.79247,63.070377,63.347496,64.86838,66.38966
-96.901375,-97.97716,-99.05339,-97.888405,-96.72255,-95.70032,-94.67835
-15.303257,-16.20202,-17.10061,-16.319319,-15.537912,-15.920383,-16.303019
-84.43049,-85.76154,-87.091805,-85.92225,-84.75396,-83.772,-82.78989
-52.407284,-52.43503,-52.4632,-51.685352,-50.905796,-49.130703,-47.35426
44.330433,45.294796,46.259243,45.862774,45.46764,43.83294,42.19933
-17.94798,-16.821218,-15.694826,-14.936715,-14.179745,-12.687276,-11.19512
20.057623,20.12607,20.194256,19.12182,18.049753,16.200432,14.351241
23.331926,23.681915,24.032394,24.528444,25.024334,25.20514,25.386017
37.61911,37.787014,37.956486,37.890793,37.82483,37.795803,37.76651
-50.453506,-51.26248,-52.071243,-51.380394,-50.688553,-48.64245,-46.597054
-10.278895,-11.284791,-12.288672,-11.261367,-10.235583,-9.704295,-9.173692
-88.14713,-87.856255,-87.56222,-86.37151,-85.18302,-84.641266,-84.09987
-13.707061,-13.771264,-13.834838,-12.583699,-11.333511,-10.337033,-9.340571
29.386694,29.787642,30.188246,30.64253,31.096125,31.077803,31.058435
-39.101826,-38.25784,-37.414425,-37.198086,-36.98315,-35.942097,-34.90118
8.468343,9.474782,10.479871,9.989743,9.500333,10.144761,10.788827
32.7736,33.51544,34.257027,34.23166,34.205482,34.651318,35.096123
68.72313,68.74741,68.772156,68.1124,67.45149,67.16507,66.87844
3.807218,3.5121093,3.2159514,3.8212028,4.426252,4.9086394,5.389486
25.14906,23.932621,22.718512,23.191845,23.665333,24.042624,24.420877
-48.776684,-49.033733,-49.29088,-49.37615,-49.460926,-49.70241,-49.942112
-41.60618,-41.19803,-40.789814,-40.917484,-41.04591,-42.604782,-44.164207
-38.342964,-38.252323,-38.16388,-37.289837,-36.414883,-37.791992,-39.171368
-87.381676,-87.7463,-88.112495,-87.20437,-86.296135,-87.45135,-88.60705
-9.940144,-11.026453,-12.111145,-11.265049,-10.420153,-9.913248,-9.407967
-21.127699,-20.440413,-19.754827,-19.050854,-18.346775,-18.432194,-18.517097
61.974144,62.01541,62.05646,62.45336,62.849396,61.573483,60.297752
-55.79752,-55.77989,-55.76219,-54.04004,-52.3206,-52.44248,-52.564537
65.18205,64.389336,63.597057,62.941025,62.28453,61.328293,60.37281
109.00512,109.00207,108.999565,108.870346,108.74001,108.03004,107.31999
-18.394495,-19.295263,-20.196156,-20.521778,-20.847301,-21.218561,-21.58974
66.50279,67.48019,68.457924,67.08467,65.7118,63.763184,61.81467
4.371463,5.1789775,5.986343,5.939028,5.893216,5.5583344,5.223794
-26.728216,-27.310894,-27.893332,-27.034748,-26.17642,-25.261942,-24.347063
11.345155,12.081128,12.816165,12.045071,11.272255,11.580142,11.887577
32.81087,33.363678,33.915283,33.78821,33.66165,33.628487,33.59651
-76.41581,-77.40228,-78.38711,-78.639175,-78.892914,-77.61262,-76.3307
-16.963352,-16.535423,-16.10702,-16.84407,-17.581127,-18.79139,-20.003078
17.615984,17.572477,17.530254,16.971199,16.412428,14.020606,11.627129
-50.13913,-50.17506,-50.210392,-50.199856,-50.188732,-48.896427,-47.60218
-22.34033,-23.48101,-24.620617,-24.370817,-24.11953,-24.732187,-25.345541
-3.0538929,-3.1282783,-3.2027388,-3.2757506,-3.3496675,-4.237891,-5.125985
17.133064,16.838417,16.54279,15.496676,14.4505205,13.244796,12.039313
-49.74871,-50.276978,-50.804623,-51.31459,-51.824852,-50.511093,-49.197468
