2014 SVI No High School Diploma Encoding,2015 SVI No High School Diploma Encoding,2016 SVI No High School Diploma Encoding,2017 SVI No High School Diploma Encoding,2018 SVI No High School Diploma Encoding,2019 SVI No High School Diploma Encoding,2020 SVI No High School Diploma Encoding
8.645946,8.415224,8.184835,7.8375554,7.4895062,7.735145,7.9811616
27.325548,28.248926,29.172749,28.866503,28.560425,27.848022,27.135996
-5.0775065,-4.564715,-4.052447,-3.904755,-3.7582564,-3.9968104,-4.235684
-84.7452,-85.29339,-85.84121,-85.47322,-85.10491,-84.29639,-83.4882
40.84123,41.342297,41.84113,42.642315,43.443737,43.553284,43.66289
13.9707,13.61029,13.249856,12.703713,12.157253,11.717755,11.27695
22.580385,22.365204,22.149872,22.13258,22.114332,22.53628,22.958513
-38.356823,-39.215767,-40.07515,-40.314484,-40.553474,-40.34178,-40.131294
10.902537,10.155975,9.408432,9.00033,8.592176,8.843587,9.094626
-34.197666,-33.635048,-33.073055,-33.78883,-34.504337,-34.408657,-34.313877
77.91934,78.13829,78.35713,78.07855,77.79895,78.43845,79.08046
-27.280188,-26.924437,-26.568312,-26.313112,-26.055906,-25.93413,-25.811138
-50.431847,-49.68409,-48.938114,-48.49624,-48.05381,-47.302242,-46.551147
9.750551,10.865295,11.980789,11.553701,11.126232,11.4759655,11.8251095
55.321686,55.886436,56.452515,56.32815,56.203793,55.605724,55.00665
-49.089577,-49.285454,-49.481384,-49.32782,-49.174103,-48.971466,-48.766823
-58.459667,-58.56549,-58.671562,-59.562157,-60.451675,-60.332443,-60.21389
-28.269382,-28.505402,-28.738419,-29.485966,-30.233017,-30.942808,-31.652449
-26.465193,-26.338602,-26.212002,-25.93934,-25.66424,-26.181078,-26.697712
-20.98461,-20.5789,-20.17159,-20.891626,-21.610535,-21.863436,-22.115185
-46.136154,-46.35683,-46.577927,-46.285465,-45.994007,-46.22535,-46.456818
31.287952,30.8751,30.463129,29.919855,29.377193,29.392612,29.408918
79.12431,78.4777,77.832726,78.851265,79.87136,79.96553,80.060646
-34.774647,-34.552696,-34.33104,-34.09816,-33.865555,-34.069695,-34.27262
