2014 SVI Disability Encoding,2015 SVI Disability Encoding,2016 SVI Disability Encoding,2017 SVI Disability Encoding,2018 SVI Disability Encoding,2019 SVI Disability Encoding,2020 SVI Disability Encoding
38.150345,38.666553,39.236813,39.59616,39.957485,39.011856,38.064365
-46.479866,-46.40613,-46.458427,-46.60157,-46.74573,-47.022835,-47.30189
-19.64169,-18.414686,-17.31256,-17.647032,-17.981852,-18.474604,-18.966463
-3.347436,-3.0090942,-2.6641722,-1.5028353,-0.34239012,-0.8150235,-1.2875404
-24.171497,-24.096611,-23.976461,-24.559326,-25.142315,-25.317635,-25.49255
16.637545,16.738672,16.775639,17.77094,18.767344,18.049204,17.331491
-13.978296,-14.370069,-14.754806,-14.312175,-13.869476,-12.99925,-12.1293
-86.92967,-87.3537,-87.870125,-88.325005,-88.78089,-88.0701,-87.35566
42.14912,41.946583,41.82118,40.69882,39.576183,38.25779,36.937435
-77.54238,-78.22778,-79.04765,-78.86033,-78.67325,-78.64011,-78.60549
-26.165083,-26.72006,-27.294004,-27.261023,-27.22725,-26.15799,-25.08663
-13.026283,-13.63245,-14.346157,-13.876053,-13.407093,-12.210865,-11.01656
-4.748381,-5.371696,-5.9610753,-6.256433,-6.552361,-6.8254757,-7.0984445
54.440857,53.495968,52.35565,52.24176,52.129234,53.10309,54.07813
-11.4050455,-11.672221,-11.875536,-11.716338,-11.557247,-10.396681,-9.23461
1.2370964,1.0665787,0.861734,0.7222739,0.58207804,0.3278614,0.07362375
-50.395554,-50.11229,-49.72003,-50.00486,-50.288982,-51.61293,-52.93879
11.013903,10.591322,10.2864895,9.772274,9.259771,9.698587,10.136534
-28.590542,-29.065872,-29.566122,-30.131695,-30.696472,-30.625336,-30.554419
-59.727623,-60.74617,-61.73215,-61.087517,-60.442642,-60.31166,-60.18115
8.545532,7.8556414,7.1973643,7.889735,8.581099,9.452379,10.322518
16.955374,15.942719,15.064799,14.738723,14.412295,13.228499,12.043583
-33.596516,-34.46804,-35.40198,-34.0257,-32.6484,-31.648903,-30.648788
20.64154,21.030308,21.304655,20.793049,20.282993,21.50499,22.728043
3.309217,2.445394,1.6227735,1.8554052,2.08608,1.6551336,1.2257246
61.919926,62.834854,63.647606,64.04765,64.44806,65.369514,66.29058
-33.08277,-33.344036,-33.590008,-33.785305,-33.97983,-33.214386,-32.446705
100.62669,100.818405,101.15012,100.987526,100.82433,99.87704,98.929375
