2014 SVI Group Quarters Encoding,2015 SVI Group Quarters Encoding,2016 SVI Group Quarters Encoding,2017 SVI Group Quarters Encoding,2018 SVI Group Quarters Encoding,2019 SVI Group Quarters Encoding,2020 SVI Group Quarters Encoding
51.803406,52.437424,53.070724,53.22146,53.37004,53.808716,54.24955
122.00755,122.124054,122.24129,121.36316,120.485596,120.15422,119.82349
11.511943,12.503375,13.49379,13.531464,13.569955,13.757628,13.945858
68.222466,68.89343,69.565056,69.25934,68.95306,68.97114,68.98909
10.56703,10.037957,9.510177,9.416686,9.321962,9.236917,9.152462
-52.91685,-53.21782,-53.518677,-53.38705,-53.25538,-53.451427,-53.645866
3.1016293,3.2699275,3.440411,3.3740292,3.3077326,2.5747316,1.8411942
17.694403,18.556602,19.418285,19.282005,19.145144,18.864113,18.583923
22.703522,22.801908,22.900654,22.68084,22.461132,22.048038,21.635262
72.59455,73.07825,73.5625,72.515076,71.46549,71.38238,71.29888
77.98176,78.63905,79.29791,79.12937,78.96047,79.53782,80.113716
89.828224,90.15699,90.48508,89.30031,88.11477,87.56434,87.01429
-1.9000281,-1.6750239,-1.4490103,-0.989014,-0.5287007,-0.26364216,-6.538816e-06
69.76169,70.75845,71.75507,71.21095,70.66628,70.67924,70.69514
-1.651415,-1.8754088,-2.097496,-2.2061038,-2.3137379,-2.1864004,-2.0597625
-7.435232,-6.811799,-6.187082,-5.5158014,-4.8454843,-4.785083,-4.724982
41.22419,41.368046,41.51388,40.70693,39.900917,39.391575,38.88234
-6.975573,-6.375752,-5.776323,-5.1410775,-4.505393,-4.709209,-4.9148574
-21.20377,-20.961905,-20.71969,-20.188267,-19.656998,-19.25018,-18.842152
-21.882023,-22.173164,-22.464941,-22.203693,-21.943348,-21.875538,-21.806976
-2.3962414,-2.82035,-3.2433646,-3.4798262,-3.7158854,-3.7209399,-3.726085
-23.670618,-24.22252,-24.775412,-24.3847,-23.993944,-23.68526,-23.376398
20.088549,20.157703,20.227045,20.25538,20.283533,20.480804,20.678898
-0.20672818,-0.53606623,-0.86699504,-1.3746245,-1.881119,-2.4820387,-3.0853083
31.169231,30.83377,30.497913,30.05609,29.61355,29.40903,29.20655
7.9808865,8.693404,9.405685,9.725416,10.043509,10.150967,10.258757
-11.649572,-12.098318,-12.547171,-12.655883,-12.765644,-12.955011,-13.145361
33.535618,33.454956,33.375206,33.02633,32.67966,32.279488,31.878592
-5.5561857,-5.9447107,-6.3334684,-6.1524286,-5.9703455,-6.078925,-6.187495
85.46514,85.54977,85.63446,84.69729,83.76023,83.67103,83.58269
58.08606,58.54182,58.99761,58.543705,58.090073,58.143147,58.196804
56.270782,56.223915,56.178066,55.643238,55.108147,54.735954,54.364746
61.67751,60.837383,59.99683,59.283337,58.569046,58.539116,58.510437
-69.06883,-70.084335,-71.099655,-70.77642,-70.45428,-70.35625,-70.25841
48.902454,48.798748,48.694073,47.924202,47.154263,47.442932,47.734066
-5.478912,-5.296931,-5.116119,-4.433883,-3.7533376,-3.3676546,-2.980271
78.03662,78.7012,79.36457,79.27622,79.18949,79.09985,79.01249
30.09942,29.579565,29.059023,28.935452,28.811674,29.071228,29.330692
-9.281564,-9.279345,-9.278531,-9.778406,-10.281412,-10.285738,-10.291685
34.026524,34.12701,34.228413,33.41351,32.59883,32.530437,32.462093
49.25718,49.221336,49.18697,48.837154,48.48859,48.532497,48.57887
-51.732704,-51.471912,-51.21054,-50.406567,-49.602104,-49.590668,-49.580017
-2.4957607,-2.6362154,-2.7760313,-2.375497,-1.9742352,-1.924461,-1.8765646
-41.835228,-42.506935,-43.17947,-42.80612,-42.433197,-42.60198,-42.773212
6.5525174,7.1049175,7.658399,7.82441,7.9920588,8.105532,8.218978
7.5880795,8.129403,8.670875,8.834239,8.996008,8.341565,7.6851387
-2.6743948,-2.6917083,-2.7089198,-2.7700956,-2.8292902,-2.9640253,-3.095895
-108.342766,-108.34346,-108.34346,-107.142784,-105.94147,-105.70513,-105.47067
38.888298,39.489925,40.092,40.322277,40.55046,41.024372,41.496464
-62.0969,-62.07764,-62.059826,-61.94491,-61.82903,-62.356792,-62.883907
-47.534935,-47.627045,-47.7192,-47.435047,-47.151985,-47.069077,-46.988754
-10.920493,-11.745398,-12.570611,-13.294018,-14.017672,-14.542761,-15.068224
17.972801,17.677439,17.382475,16.509993,15.63801,15.901897,16.164658
75.6485,76.482574,77.3166,76.57918,75.84164,75.73738,75.63511
31.999311,32.412502,32.82643,32.979343,33.13238,33.15927,33.186092
34.838768,35.92771,37.015797,36.365936,35.71642,35.613445,35.510174
56.024147,56.29945,56.575,56.174244,55.773273,55.428295,55.082382
-32.14728,-32.134468,-32.12128,-31.777916,-31.433874,-31.539223,-31.6451
