2014 SVI Single-Parent Household Encoding,2015 SVI Single-Parent Household Encoding,2016 SVI Single-Parent Household Encoding,2017 SVI Single-Parent Household Encoding,2018 SVI Single-Parent Household Encoding,2019 SVI Single-Parent Household Encoding,2020 SVI Single-Parent Household Encoding
57.14558,58.82097,60.49523,60.97966,61.46241,60.456974,59.562622
57.364296,58.051594,58.73683,58.10618,57.470123,59.04055,60.769047
6.189523,5.681334,5.1750975,3.6745753,2.1670942,1.0735589,0.05247508
-57.378036,-58.065754,-58.75282,-61.68689,-64.61103,-66.46297,-68.39436
11.9607525,13.690817,15.419899,18.84444,22.273779,24.91633,27.48968
-59.58359,-59.961826,-60.340435,-62.382465,-64.40967,-64.65247,-64.93224
55.45124,54.797993,54.14504,53.505558,52.866222,51.394146,49.879208
70.17214,72.11036,74.049065,74.885574,75.73876,75.080055,74.44251
-98.23403,-97.44091,-96.64808,-95.00489,-93.34724,-91.64988,-90.04766
89.346794,88.360664,87.37413,84.35647,81.34283,79.36358,77.23353
-109.483116,-108.670364,-107.85759,-106.55899,-105.26968,-105.673515,-106.2399
13.129893,12.867896,12.606608,12.089671,11.557145,12.707971,13.964824
-15.680111,-15.123753,-14.568736,-9.156852,-3.7553303,-0.59044874,2.4301085
-87.43402,-88.05083,-88.66777,-86.47644,-84.29249,-82.82994,-81.32598
9.661835,9.745678,9.829697,10.272209,10.697708,12.860615,15.074261
29.145216,29.074442,29.003742,26.823112,24.63723,24.16392,23.768614
-26.366898,-25.810677,-25.255238,-24.382278,-23.524393,-25.895857,-28.426874
57.555912,58.640633,59.72557,59.88354,60.02541,63.119385,66.23625
-17.99478,-16.92026,-15.845974,-17.701002,-19.569021,-22.30239,-25.029957
13.968531,14.737993,15.507653,15.122303,14.727992,15.450784,16.087835
-30.403288,-29.369606,-28.33466,-28.019772,-27.694958,-27.175812,-26.613865
147.32625,146.67868,146.0291,144.57713,143.14288,141.86119,140.6328
20.26527,20.42152,20.577248,18.921953,17.265007,15.209611,13.238943
-23.62142,-24.047066,-24.474436,-26.510288,-28.535656,-29.215591,-30.012653
-15.865546,-15.843538,-15.820081,-14.273267,-12.727779,-12.748853,-12.692961
-49.00616,-50.45151,-51.896233,-52.734093,-53.58161,-53.945423,-54.508217
-53.999275,-55.04956,-56.10006,-56.414417,-56.75009,-54.92765,-53.023216
39.238754,38.926205,38.61398,37.732994,36.857296,36.746384,36.743073
21.081264,21.565624,22.049614,24.070244,26.102104,26.479618,26.88395
-0.89099246,-0.52656204,-0.15967302,-1.0158036,-1.8686059,-1.5148232,-1.252475
41.00586,40.940334,40.875607,43.196278,45.516506,44.67684,43.815117
60.70042,63.30566,65.91028,69.52484,73.153534,73.435936,73.77479
10.410519,11.153986,11.896919,10.4457855,8.983376,9.153201,9.267372
62.72028,61.82048,60.92101,59.843,58.766243,61.36601,64.118515
13.047145,15.017063,16.986502,16.36781,15.732386,16.945683,18.115248
-29.647524,-32.033787,-34.421135,-34.722984,-35.03614,-33.283844,-31.376669
-6.1374154,-7.967214,-9.797334,-11.540624,-13.283461,-15.482749,-17.555792
31.527872,32.06457,32.602566,32.463314,32.318104,33.997574,35.515465
6.776578,7.296076,7.815321,7.8553133,7.903673,10.008864,11.957717
9.516734,9.720069,9.922177,9.95593,9.982369,6.959703,3.7459428
109.37656,108.67751,107.97775,105.30505,102.6263,101.194824,99.76433
-29.051317,-30.182299,-31.314192,-31.236341,-31.16158,-30.251272,-29.226942
-20.198172,-22.326572,-24.456041,-25.918657,-27.397392,-28.023043,-28.447712
-73.58046,-73.00164,-72.42107,-73.45756,-74.48825,-73.56845,-72.652245
-31.465721,-30.87998,-30.295252,-28.535301,-26.786947,-28.399426,-30.070574
46.40416,48.24965,50.096325,50.64166,51.186825,52.74788,54.29068
-60.04483,-60.64638,-61.247875,-61.065872,-60.870823,-61.93544,-63.162968
-3.6978056,-3.2052495,-2.7116234,-3.2745597,-3.8472373,-1.5372846,0.79351074
3.5650795,3.866316,4.1670957,3.6271737,3.0705283,2.004964,0.7937892
77.353226,74.34418,71.33596,68.24728,65.17234,63.8365,62.558952
62.32693,62.624054,62.921307,61.828133,60.735527,60.0606,59.42916
-54.980545,-55.43387,-55.888012,-55.23475,-54.586983,-53.62413,-52.823196
14.748631,14.33082,13.91375,11.742025,9.581425,8.415566,7.0825653
-28.856554,-29.162497,-29.469374,-30.331324,-31.17568,-32.433273,-33.489338
-5.095374,-4.927293,-4.75961,-4.3109255,-3.865239,-3.4618967,-3.1149118
-86.3263,-87.60334,-88.879555,-89.55364,-90.22947,-91.555214,-92.97738
-8.875558,-8.241316,-7.606189,-7.5964146,-7.5715175,-4.6985292,-1.9015744
10.215433,11.673277,13.1318655,13.961963,14.793633,13.17401,11.524041
-2.7461624,-0.3004818,2.145669,3.7258492,5.305789,4.998293,4.5217066
