2014 SVI Disability Data and Encoding,2015 SVI Disability Data and Encoding,2016 SVI Disability Data and Encoding,2017 SVI Disability Data and Encoding,2018 SVI Disability Data and Encoding,2019 SVI Disability Data and Encoding,2020 SVI Disability Data and Encoding
16.05,15.54,15.03,14.76,14.49,14.62,14.74
23.72,24.34,24.96,24.9,24.83,22.82,20.81
4.52,5.32,6.11,6.54,6.97,6.74,6.52
27.19,30.28,33.37,32.68,32.0,33.6,35.2
29.96,33.03,36.1,38.42,40.75,47.84,54.93
13.72,13.55,13.37,12.6,11.84,15.26,18.68
42.31,39.7,37.09,36.69,36.29,35.74,35.2
14.45,14.45,14.45,15.76,17.06,15.55,14.04
9.71,9.76,9.81,9.88,9.96,11.3,12.64
47.85,51.72,55.59,60.58,65.58,60.26,54.93
62.56,66.9,71.25,75.72,80.2,80.01,79.82
77.17,79.0,80.83,81.46,82.08,73.39,64.7
47.85,46.56,45.27,48.14,51.0,53.41,55.82
16.05,15.04,14.04,12.94,11.84,11.66,11.49
96.5,95.14,93.79,91.96,90.13,92.33,94.53
85.8,86.24,86.69,88.25,89.81,91.12,92.43
86.44,87.06,87.68,87.92,88.16,88.67,89.18
31.65,30.06,28.46,29.68,30.91,30.38,29.85
16.71,16.09,15.47,14.98,14.49,15.58,16.68
72.62,74.21,75.8,78.0,80.2,83.96,87.71
47.85,45.46,43.08,39.68,36.29,46.06,55.82
96.28,96.66,97.04,96.54,96.05,96.5,96.94
27.19,29.26,31.33,30.76,30.18,27.32,24.47
48.93,47.1,45.27,45.35,45.43,49.61,53.79
61.64,60.49,59.34,57.26,55.17,48.02,40.87
94.97,93.3,91.63,90.56,89.49,88.02,86.54
61.64,68.51,75.39,79.12,82.84,80.33,77.82
92.04,88.9,85.77,86.06,86.34,87.26,88.19
82.43,87.98,93.54,88.82,84.11,74.4,64.7
83.79,80.94,78.1,76.62,75.14,83.36,91.57
96.05,95.11,94.17,93.06,91.95,87.18,82.4
14.45,12.8,11.14,9.06,6.97,11.09,15.21
46.74,42.94,39.13,31.34,23.56,19.39,15.21
80.64,79.37,78.1,78.1,78.1,79.38,80.65
