2014 SVI Single-Parent Household Data and Encoding,2015 SVI Single-Parent Household Data and Encoding,2016 SVI Single-Parent Household Data and Encoding,2017 SVI Single-Parent Household Data and Encoding,2018 SVI Single-Parent Household Data and Encoding,2019 SVI Single-Parent Household Data and Encoding,2020 SVI Single-Parent Household Data and Encoding
77.81,84.62,91.44,93.66,95.89,84.91,73.93
93.66,92.45,91.24,90.72,90.19,83.44,76.7
98.63,98.62,98.6,98.9,99.2,95.8,92.39
44.41,44.56,44.7,40.42,36.13,33.31,30.49
14.52,14.48,14.45,15.76,17.06,19.96,22.85
80.1,80.53,80.96,80.45,79.94,79.04,78.13
29.45,39.14,48.84,61.76,74.69,79.42,84.15
21.65,15.53,9.42,6.46,3.5,5.04,6.59
67.21,73.66,80.1,79.57,79.05,77.88,76.7
32.63,41.45,50.27,44.1,37.92,33.09,28.26
53.77,50.27,46.77,53.71,60.65,31.39,2.13
27.13,33.99,40.85,40.23,39.61,33.94,28.26
52.85,51.05,49.25,42.69,36.13,35.49,34.85
61.48,54.94,48.39,53.07,57.75,67.22,76.7
51.23,52.68,54.12,49.65,45.18,32.6,20.02
77.65,83.44,89.24,83.48,77.71,52.99,28.26
71.16,67.83,64.5,63.42,62.34,55.74,49.14
28.46,29.48,30.5,31.48,32.47,27.66,22.85
43.11,41.37,39.64,37.89,36.13,44.78,53.44
8.31,9.91,11.52,9.43,7.35,8.75,10.15
82.97,83.68,84.4,84.51,84.62,82.89,81.16
11.97,11.44,10.92,17.39,23.85,24.3,24.76
36.04,50.67,65.3,58.82,52.34,45.69,39.05
63.77,54.18,44.6,40.36,36.13,44.78,53.44
90.1,84.6,79.11,77.95,76.79,67.94,59.1
81.28,83.27,85.26,84.94,84.62,80.66,76.7
93.73,91.7,89.68,87.98,86.28,85.54,84.79
51.64,50.78,49.92,45.59,41.26,43.21,45.16
34.67,36.54,38.4,42.76,47.12,51.24,55.35
31.74,30.54,29.35,28.64,27.92,32.26,36.6
71.76,71.3,70.84,71.41,71.98,68.68,65.37
60.27,59.04,57.82,51.5,45.18,50.26,55.35
22.45,19.36,16.27,17.2,18.12,20.48,22.85
70.23,61.56,52.88,51.7,50.53,50.89,51.24
42.73,42.01,41.29,49.52,57.75,58.42,59.1
13.63,11.43,9.23,8.88,8.53,10.44,12.35
41.87,41.46,41.04,41.15,41.26,49.26,57.26
0.8,0.83,0.86,0.75,0.64,1.39,2.13
78.38,80.6,82.81,82.9,83.0,67.12,51.24
28.05,35.29,42.53,33.19,23.85,31.45,39.05
92.87,92.94,93.0,92.36,91.72,92.06,92.39
40.5,39.54,38.59,36.47,34.35,37.84,41.34
89.75,90.16,90.58,74.98,59.38,47.99,36.6
24.93,26.36,27.79,28.7,29.61,51.18,72.76
16.36,26.07,35.78,56.74,77.71,87.14,96.56
78.22,78.79,79.37,84.78,90.19,84.16,78.13
91.98,92.82,93.66,90.88,88.09,88.94,89.78
48.52,61.12,73.73,83.46,93.19,93.93,94.68
20.82,12.78,4.74,9.32,13.91,14.71,15.5
82.81,77.02,71.22,64.48,57.75,76.57,95.39
55.33,62.96,70.58,57.88,45.18,29.7,14.23
76.06,77.97,79.88,82.25,84.62,84.38,84.15
63.61,66.18,68.74,72.76,76.79,71.08,65.37
98.98,97.06,95.13,96.04,96.94,96.38,95.83
73.07,54.27,35.47,42.24,49.0,51.22,53.44
95.51,96.14,96.78,95.88,94.97,95.9,96.82
78.45,68.84,59.22,56.67,54.12,76.22,98.31
74.31,53.98,33.65,44.81,55.97,34.6,13.24
41.74,44.12,46.51,31.79,17.06,54.5,91.95
91.4,92.58,93.76,94.65,95.54,94.49,93.44
85.1,85.46,85.83,87.79,89.75,84.98,80.2
97.71,97.95,98.19,94.19,90.19,73.72,57.26
50.02,54.92,59.82,67.26,74.69,81.17,87.65
83.09,88.84,94.59,96.39,98.19,98.97,99.75
60.74,74.19,87.65,88.7,89.75,92.57,95.39
96.24,97.07,97.9,98.41,98.92,97.65,96.37
76.28,80.92,85.55,82.3,79.05,85.26,91.47
54.89,46.4,37.92,28.02,18.12,24.3,30.49
66.09,62.08,58.07,38.71,19.36,31.26,43.16
80.64,83.04,85.45,87.6,89.75,89.28,88.8
7.8,40.13,72.46,77.16,81.85,90.48,99.11
79.69,72.34,64.98,51.45,37.92,41.54,45.16
56.16,46.54,36.93,32.43,27.92,44.5,61.08
58.52,54.46,50.4,54.08,57.75,65.26,72.76
96.69,89.11,81.53,80.29,79.05,80.1,81.16
98.47,98.8,99.14,99.19,99.24,98.89,98.54
95.73,96.88,98.03,96.62,95.22,96.72,98.22
77.14,76.28,75.42,72.57,69.72,70.67,71.61
83.44,82.31,81.18,85.18,89.18,83.66,78.13
95.83,95.82,95.8,94.0,92.2,91.28,90.36
70.26,64.22,58.17,53.58,49.0,60.88,72.76
63.16,69.56,75.96,76.38,76.79,72.04,67.28
64.92,67.86,70.81,66.57,62.34,72.77,83.2
84.85,77.07,69.28,59.14,49.0,33.19,17.38
97.45,98.01,98.57,96.9,95.22,97.14,99.05
14.23,14.23,14.23,13.8,13.37,21.93,30.49
46.74,44.54,42.34,23.56,4.78,16.52,28.26
95.32,97.04,98.76,98.44,98.12,98.08,98.03
85.51,85.76,86.02,85.32,84.62,84.7,84.79
91.12,92.92,94.72,90.1,85.48,86.12,86.76
81.22,78.35,75.49,67.44,59.38,65.49,71.61
98.6,98.82,99.04,99.24,99.43,99.4,99.36
94.43,93.48,92.52,93.87,95.22,95.21,95.19
92.04,93.4,94.75,95.75,96.75,97.61,98.47
83.95,90.8,97.64,64.44,31.23,37.2,43.16
71.09,76.0,80.9,74.61,68.32,71.12,73.93
75.99,65.04,54.09,45.11,36.13,43.68,51.24
96.12,96.01,95.89,96.32,96.75,96.29,95.83
95.0,92.84,90.67,93.28,95.89,95.48,95.07
22.48,14.47,6.46,6.28,6.11,16.31,26.51
28.88,26.65,24.42,24.14,23.85,39.6,55.35
46.61,55.18,63.74,69.79,75.84,83.65,91.47
13.12,15.54,17.96,15.93,13.91,20.21,26.51
36.1,36.62,37.15,49.74,62.34,72.23,82.11
79.72,77.27,74.82,73.99,73.16,77.64,82.11
11.62,13.1,14.58,13.1,11.62,33.48,55.35
4.04,2.42,0.8,24.9,49.0,73.17,97.33
85.64,87.55,89.46,85.65,81.85,73.61,65.37
46.64,65.42,84.21,84.02,83.83,81.53,79.22
93.31,91.66,90.0,88.14,86.28,79.52,72.76
44.09,42.86,41.64,44.38,47.12,60.52,73.93
88.06,87.42,86.79,85.7,84.62,83.36,82.11
19.61,21.66,23.72,19.72,15.73,11.44,7.16
72.08,70.78,69.47,68.24,67.02,64.8,62.57
32.54,32.64,32.73,26.04,19.36,54.08,88.8
75.39,81.64,87.9,87.36,86.82,72.96,59.1
21.68,29.61,37.54,33.58,29.61,21.42,13.24
48.49,60.33,72.17,64.07,55.97,39.41,22.85
47.06,53.27,59.47,44.54,29.61,38.38,47.14
95.16,94.97,94.78,94.78,94.78,93.12,91.47
88.28,87.98,87.68,88.72,89.75,87.58,85.42
57.53,61.19,64.85,65.94,67.02,74.56,82.11
38.97,35.53,32.09,38.64,45.18,47.16,49.14
91.6,73.58,55.56,40.46,25.37,36.25,47.14
50.81,70.09,89.37,89.78,90.19,76.38,62.57
91.82,89.94,88.06,82.88,77.71,87.26,96.82
98.06,76.84,55.62,64.39,73.16,44.33,15.5
51.45,60.28,69.12,59.06,49.0,55.04,61.08
70.58,72.03,73.48,69.39,65.3,59.37,53.44
