2014 Dispensing Data and Encoding,2015 Dispensing Data and Encoding,2016 Dispensing Data and Encoding,2017 Dispensing Data and Encoding,2018 Dispensing Data and Encoding,2019 Dispensing Data and Encoding,2020 Dispensing Data and Encoding
106.3,109.3,110.0,103.7,91.9,73.2,70.6
79.6,79.5,80.2,73.5,65.7,39.5,36.6
72.9,67.0,65.6,60.4,52.6,48.6,47.6
108.8,86.0,83.5,77.6,70.9,54.1,54.3
100.0,96.7,96.7,90.8,81.2,61.0,59.7
121.0,107.2,109.6,103.9,91.0,44.9,44.6
57.1,51.4,51.7,47.3,39.9,3.8,2.9
65.0,60.2,57.4,49.8,42.3,18.5,22.4
87.1,82.4,82.3,75.0,65.0,48.3,45.4
68.8,65.4,66.3,61.7,55.1,41.6,41.5
71.9,68.7,71.5,65.9,57.0,62.8,61.4
118.9,102.9,102.8,98.2,86.1,34.5,55.0
44.9,40.0,40.8,39.5,33.3,5.4,2.0
82.6,80.4,81.3,75.8,71.6,45.8,17.5
82.3,77.3,76.2,70.9,62.4,40.4,36.6
89.6,89.8,90.8,85.4,73.2,56.5,58.4
75.8,74.1,74.8,71.3,64.8,62.9,56.9
34.4,32.0,30.5,28.1,24.1,24.2,23.6
83.1,79.8,79.9,74.7,64.9,36.8,34.3
118.8,111.4,110.4,103.6,86.2,30.5,31.5
92.1,87.5,85.4,77.8,65.9,47.0,43.0
122.1,115.9,101.6,95.3,86.3,58.7,61.7
50.8,46.0,45.2,41.3,36.0,39.9,35.7
60.1,56.3,53.0,46.5,39.8,21.2,23.3
63.3,59.9,59.3,54.0,48.3,43.3,41.7
90.7,85.0,86.6,81.0,71.2,64.2,60.4
88.9,83.6,82.4,74.7,67.2,65.2,65.2
74.7,69.7,72.9,68.1,58.8,37.6,33.7
126.7,113.6,110.0,102.2,87.5,35.0,34.6
66.8,64.3,65.0,60.9,51.2,34.2,30.4
72.9,68.0,65.6,61.7,54.8,31.0,33.9
111.7,99.1,97.4,90.7,77.4,49.1,46.7
85.1,80.3,79.0,73.4,65.8,56.1,53.5
59.3,53.5,55.9,52.9,45.8,39.9,37.9
71.8,73.0,72.6,69.3,65.6,14.9,14.0
92.9,88.9,85.7,80.4,72.2,15.4,16.0
121.8,112.3,113.8,113.0,103.3,50.4,47.9
67.7,61.3,54.6,52.3,46.8,18.8,18.4
86.9,81.1,81.8,73.7,64.3,50.7,48.4
89.6,84.7,83.8,78.5,67.8,11.5,9.4
97.9,84.3,89.0,84.5,74.8,32.7,29.4
184.1,142.1,124.7,121.1,108.9,37.6,31.9
129.7,129.5,123.7,115.1,103.3,62.9,41.9
71.3,77.9,67.9,66.5,56.8,64.1,58.1
145.7,151.2,157.5,170.6,172.7,153.8,131.3
0.0,0.0,0.0,0.0,0.0,29.2,42.3
113.0,102.8,98.4,90.0,81.1,45.1,42.2
51.1,48.0,42.3,31.6,39.5,8.8,10.6
92.3,87.7,84.6,76.0,68.4,61.6,63.5
112.1,104.6,102.9,99.2,87.4,61.5,63.6
199.0,208.1,199.4,181.2,162.5,78.3,70.0
61.8,57.3,56.1,52.7,47.3,19.9,14.3
145.4,138.8,130.7,120.5,107.2,131.4,125.6
147.0,143.9,131.8,123.5,110.5,33.9,36.6
71.4,64.7,55.2,50.4,47.5,8.9,6.5
73.6,88.1,91.0,88.0,87.6,95.5,97.6
93.7,88.8,90.7,82.0,69.0,35.5,23.9
93.9,95.9,84.7,78.1,68.6,85.6,81.9
93.0,88.0,84.3,76.2,66.5,39.4,38.0
103.5,104.9,100.2,91.6,68.1,41.6,36.8
2.0,1.0,2.2,1.4,0.1,14.4,12.1
82.2,74.2,73.9,66.1,54.4,38.5,31.1
151.1,160.8,169.7,157.1,135.1,77.2,73.5
126.1,119.3,116.6,109.9,100.3,85.0,73.3
148.9,124.0,116.1,104.4,91.8,38.7,33.9
101.1,100.0,104.0,95.9,87.2,55.4,57.2
91.7,87.8,84.9,77.3,69.1,79.2,76.4
0.0,0.0,0.0,0.0,0.0,0.5,0.9
150.2,131.9,131.4,120.9,106.2,28.0,29.5
71.3,68.0,70.0,63.9,56.4,55.4,53.9
104.7,98.3,97.1,90.8,81.2,138.2,136.3
67.7,55.1,49.0,42.9,32.3,84.8,15.3
51.6,47.8,44.6,39.3,34.1,27.1,21.0
144.8,153.4,150.8,145.9,132.3,63.6,71.5
65.0,61.4,61.3,54.6,47.1,44.3,38.8
173.1,167.0,173.8,175.8,155.4,164.1,142.4
87.7,86.3,85.7,85.6,80.1,86.1,86.2
88.6,84.7,81.0,72.1,62.8,66.4,58.5
110.4,104.3,105.7,105.6,97.7,44.3,43.9
80.3,81.2,81.3,75.9,68.2,51.0,55.6
0.6,0.9,1.1,0.7,6.3,45.8,48.3
180.4,178.6,174.5,169.2,160.7,91.3,90.0
112.0,83.3,74.9,61.9,51.1,13.4,8.9
162.6,149.5,135.6,142.8,130.8,40.8,35.3
134.2,125.2,122.6,120.7,109.1,73.5,74.5
48.6,45.9,45.1,40.2,35.4,46.9,43.2
107.2,96.9,93.1,92.7,73.0,30.4,28.4
0.5,0.6,0.6,0.7,0.0,2.1,1.3
129.6,125.4,119.3,105.7,90.4,114.9,112.3
101.7,97.0,94.5,85.3,75.4,45.9,43.8
126.0,119.4,118.9,114.1,108.6,67.9,55.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.5,86.7,79.7,71.9,62.0,21.2,20.9
152.1,144.4,146.7,139.0,130.6,60.7,57.1
107.8,109.8,113.4,108.6,95.9,60.1,63.3
145.3,134.5,122.0,115.4,90.6,35.3,43.9
160.8,163.3,154.3,134.7,122.1,88.4,75.7
87.8,88.1,91.8,81.7,74.5,77.3,71.3
