FIPS,2014 EPL_NOHSDP,2015 EPL_NOHSDP,2016 EPL_NOHSDP,2017 EPL_NOHSDP,2018 EPL_NOHSDP,2019 EPL_NOHSDP,2020 EPL_NOHSDP
13053,7.64,18.0,28.37,20.92,13.47,10.92,8.37
13055,98.22,97.34,96.47,96.68,96.88,97.42,97.96
13057,33.21,32.41,31.61,27.62,23.62,24.04,24.47
13059,54.25,54.86,55.46,54.92,54.38,49.68,44.97
13061,77.49,75.24,73.0,79.21,85.42,82.68,79.95
13063,70.96,69.05,67.14,67.14,67.14,69.48,71.83
13065,92.36,91.85,91.34,94.65,97.96,98.02,98.09
13067,18.78,20.1,21.43,21.19,20.95,20.48,20.02
13069,86.41,85.68,84.94,88.22,91.5,94.16,96.82
13071,96.12,96.3,96.47,96.38,96.28,96.6,96.91
13073,18.31,17.14,15.98,15.6,15.22,16.03,16.84
13075,91.66,91.5,91.34,88.22,85.1,86.12,87.14
13077,37.31,38.76,40.21,41.76,43.3,40.44,37.59
13079,80.13,79.27,78.41,75.34,72.27,75.73,79.19
13081,83.89,82.79,81.69,83.03,84.37,82.52,80.68
13083,76.19,78.21,80.23,83.88,87.52,85.88,84.25
13085,56.19,54.96,53.74,56.89,60.04,56.76,53.47
13087,80.99,81.63,82.27,80.55,78.83,79.39,79.95
13089,36.71,38.46,40.21,41.26,42.31,40.38,38.45
13091,78.48,77.0,75.52,74.52,73.51,70.67,67.82
13093,93.98,94.4,94.81,94.86,94.91,91.35,87.78
