FIPS,2014 RPL_THEMES,2015 RPL_THEMES,2016 RPL_THEMES,2017 RPL_THEMES,2018 RPL_THEMES,2019 RPL_THEMES,2020 RPL_THEMES
08029,60.24,64.49,68.74,68.7,68.66,70.96,73.27
08031,53.42,50.7,47.98,44.98,41.97,50.09,58.21
08033,31.07,32.28,33.49,24.32,15.16,10.72,6.27
08035,1.88,1.82,1.75,1.62,1.5,1.99,2.48
08037,16.3,15.58,14.87,14.28,13.69,24.65,35.61
08039,0.64,0.55,0.45,0.22,0.0,0.05,0.1
08041,39.41,37.92,36.42,37.84,39.27,44.11,48.95
08043,67.14,67.97,68.8,67.03,65.25,63.61,61.97
08045,47.5,45.99,44.48,39.79,35.1,46.13,57.16
08047,0.86,0.81,0.76,0.49,0.22,0.84,1.46
08049,7.74,9.03,10.32,10.1,9.87,14.34,18.81
08051,25.25,26.29,27.32,20.62,13.92,16.3,18.68
08053,0.38,2.77,5.16,5.7,6.24,16.13,26.03
08055,72.68,64.61,56.54,58.04,59.55,50.72,41.88
08057,22.99,13.96,4.93,8.15,11.37,16.97,22.57
08059,9.14,8.31,7.48,6.88,6.27,8.52,10.76
08061,39.8,44.46,49.12,40.5,31.88,22.4,12.92
08063,71.41,62.56,53.71,52.62,51.53,59.05,66.58
08065,36.2,33.75,31.3,37.91,44.52,44.66,44.81
08067,12.1,12.08,12.07,11.46,10.86,18.06,25.27
08069,13.88,13.08,12.29,12.12,11.94,15.13,18.33
08071,71.89,68.16,64.44,74.09,83.73,83.5,83.26
08073,69.69,69.06,68.42,58.5,48.57,49.43,50.29
08075,70.81,65.22,59.63,61.22,62.8,64.38,65.95
08077,49.28,52.21,55.14,56.34,57.55,62.94,68.33
08079,1.75,2.78,3.82,3.22,2.61,5.08,7.54
08081,32.0,32.61,33.21,43.96,54.71,67.79,80.87
08083,52.98,47.9,42.82,46.14,49.46,51.22,52.99
08085,68.8,71.24,73.67,72.6,71.53,62.58,53.63
08087,83.29,79.88,76.47,75.31,74.14,79.16,84.18
08089,97.07,95.66,94.24,94.92,95.61,92.24,88.86
08091,1.94,1.75,1.56,1.98,2.39,2.56,2.74
08093,0.0,0.0,0.0,0.03,0.06,0.87,1.69
08095,75.9,54.86,33.81,31.68,29.55,36.43,43.32
08097,3.57,4.68,5.79,6.18,6.56,10.57,14.58
08099,94.78,94.48,94.17,94.04,93.92,95.02,96.12
08101,84.53,85.65,86.76,86.72,86.69,86.28,85.87
08103,39.73,32.57,25.41,29.71,34.01,41.07,48.12
08105,88.95,90.59,92.23,94.04,95.86,94.97,94.08
08107,3.85,4.56,5.28,5.81,6.34,8.5,10.66
08109,72.81,72.33,71.86,76.28,80.7,80.61,80.52
08111,19.2,11.64,4.08,8.46,12.83,27.44,42.04
08113,6.37,6.16,5.95,4.63,3.31,9.63,15.95
08115,34.89,41.28,47.66,58.51,69.36,75.31,81.25
