FIPS,2014 EPL_POV,2015 EPL_POV,2016 EPL_POV,2017 EPL_POV,2018 EPL_POV,2019 EPL_POV,2020 EPL_POV
13065,98.34,98.54,98.73,99.08,99.43,99.35,99.27
13067,29.83,26.94,24.04,21.29,18.54,15.68,12.83
13069,91.24,90.11,88.98,87.47,85.96,86.51,87.05
13071,93.86,91.96,90.07,91.16,92.26,93.71,95.16
13073,11.17,11.72,12.26,12.18,12.1,8.55,5.0
13075,89.59,90.96,92.33,91.08,89.84,89.81,89.78
13077,29.83,28.06,26.3,25.9,25.51,19.02,12.54
13079,57.82,64.38,70.93,74.35,77.77,71.71,65.66
13081,97.17,97.5,97.84,97.7,97.55,98.04,98.54
13083,34.51,45.32,56.13,54.21,52.29,53.12,53.95
13085,47.76,41.58,35.4,23.53,11.66,10.19,8.72
13087,95.83,94.36,92.9,92.58,92.26,90.72,89.18
13089,71.28,70.85,70.42,66.5,62.58,55.6,48.63
13091,71.28,77.2,83.13,85.98,88.82,88.02,87.21
13093,94.33,91.45,88.57,89.88,91.18,82.7,74.22
13095,97.68,97.14,96.59,96.67,96.75,96.08,95.42
13097,50.53,48.72,46.9,42.64,38.38,36.7,35.01
13099,93.16,95.04,96.91,96.59,96.27,96.91,97.55
13101,96.31,96.35,96.4,95.42,94.43,85.72,77.02
13103,15.57,17.39,19.2,15.18,11.15,13.04,14.93
