FIPS,2014 EPL_NOVEH,2015 EPL_NOVEH,2016 EPL_NOVEH,2017 EPL_NOVEH,2018 EPL_NOVEH,2019 EPL_NOVEH,2020 EPL_NOVEH
12031,80.32,80.52,80.71,80.14,79.56,78.14,76.73
12033,65.97,59.68,53.39,52.4,51.42,56.14,60.85
12035,17.13,17.34,17.54,17.32,17.1,12.14,7.19
12037,83.86,69.4,54.95,49.65,44.35,51.89,59.42
12039,94.46,93.79,93.12,94.06,95.0,93.26,91.53
12041,57.15,47.64,38.14,36.93,35.72,49.21,62.7
12043,23.62,36.2,48.77,38.62,28.46,22.95,17.44
12045,38.2,35.59,32.98,30.72,28.46,22.25,16.04
12047,71.89,82.2,92.52,90.72,88.92,86.47,84.02
12049,81.12,75.81,70.49,62.45,54.41,43.44,32.46
12051,77.17,82.66,88.16,86.04,83.92,77.33,70.75
12053,38.2,32.25,26.3,25.25,24.2,30.98,37.75
12055,67.53,62.77,58.01,50.13,42.25,42.53,42.81
12057,67.53,67.8,68.07,66.86,65.65,62.54,59.42
12059,51.29,59.17,67.05,69.64,72.24,53.97,35.71
12061,34.8,38.33,41.87,43.11,44.35,40.03,35.71
12063,75.96,81.58,87.2,84.34,81.47,73.52,65.56
12065,80.32,70.08,59.85,41.16,22.48,37.35,52.23
12067,49.32,56.14,62.97,68.98,74.98,47.42,19.86
12069,44.51,44.04,43.58,42.92,42.25,36.4,30.55
12071,36.52,36.39,36.26,36.7,37.15,39.08,41.02
12073,61.76,60.8,59.85,60.14,60.43,61.57,62.7
12075,62.97,62.26,61.54,50.22,38.9,34.72,30.55
12077,42.38,42.98,43.58,45.18,46.77,49.5,52.23
12079,92.77,92.2,91.63,93.42,95.22,92.9,90.58
12081,38.2,39.03,39.86,37.79,35.72,30.74,25.75
12083,51.29,46.58,41.87,41.34,40.82,39.29,37.75
12085,24.99,27.19,29.39,34.15,38.9,38.32,37.75
12086,93.09,92.93,92.77,92.38,91.98,91.92,91.85
12087,74.12,74.44,74.75,72.38,70.01,72.67,75.33
12089,9.36,17.83,26.3,23.72,21.14,15.26,9.39
12091,29.74,30.52,31.3,35.1,38.9,33.22,27.53
12093,22.03,21.2,20.38,21.43,22.48,20.52,18.56
12095,57.15,58.5,59.85,57.13,54.41,50.23,46.05
12097,51.29,49.32,47.34,44.79,42.25,43.23,44.21
12099,60.17,60.85,61.54,59.71,57.88,58.0,58.12
12101,47.63,48.98,50.33,48.55,46.77,43.9,41.02
12103,85.23,83.59,81.95,80.76,79.56,78.14,76.73
12105,64.34,62.1,59.85,54.16,48.46,48.05,47.64
12107,75.96,76.28,76.6,74.99,73.38,75.06,76.73
12109,17.13,15.58,14.04,10.17,6.3,5.4,4.49
12111,58.87,55.4,51.93,44.54,37.15,33.85,30.55
12113,15.79,14.92,14.04,12.13,10.22,10.81,11.39
12115,49.32,44.59,39.86,39.38,38.9,39.12,39.34
12117,13.34,13.69,14.04,14.31,14.58,16.57,18.56
12119,18.08,15.34,12.61,11.84,11.08,12.35,13.62
12121,64.34,61.18,58.01,54.72,51.42,64.53,77.63
12123,55.78,56.9,58.01,62.52,67.02,70.45,73.87
12125,60.17,63.02,65.87,53.34,40.82,37.47,34.12
12127,62.97,60.49,58.01,56.21,54.41,53.32,52.23
12129,14.65,17.52,20.38,15.3,10.22,6.94,3.66
12131,31.36,38.36,45.37,47.7,50.02,42.07,34.12
12133,47.63,49.78,51.93,49.35,46.77,32.66,18.56
