FIPS,2014 EPL_UNEMP,2015 EPL_UNEMP,2016 EPL_UNEMP,2017 EPL_UNEMP,2018 EPL_UNEMP,2019 EPL_UNEMP,2020 EPL_UNEMP
06081,38.81,35.89,32.98,29.54,26.11,28.38,30.65
06083,56.45,55.98,55.52,57.92,60.32,62.37,64.42
06085,55.21,50.68,46.16,42.27,38.38,36.88,35.39
06087,54.09,55.54,56.99,60.38,63.76,67.64,71.51
06089,84.97,79.33,73.7,67.88,62.07,65.39,68.71
06091,34.54,24.08,13.63,24.25,34.87,58.27,81.67
06093,93.7,93.14,92.58,87.45,82.32,83.58,84.85
06095,84.37,84.56,84.75,79.11,73.47,71.09,68.71
06097,64.02,58.29,52.56,47.8,43.03,43.44,43.86
06099,96.66,96.61,96.56,95.71,94.87,93.48,92.08
06101,92.71,91.79,90.86,91.86,92.87,89.84,86.82
06103,96.34,95.62,94.91,93.06,91.21,91.85,92.49
06105,88.98,86.52,84.05,85.67,87.29,90.11,92.93
06107,91.05,89.52,88.0,89.88,91.75,93.57,95.39
06109,95.13,93.68,92.23,81.58,70.92,77.38,83.83
06111,61.99,60.73,59.47,58.08,56.69,55.27,53.85
06113,64.02,64.34,64.66,65.82,66.97,64.88,62.79
06115,97.74,96.42,95.1,90.6,86.11,84.32,82.53
08001,60.74,50.19,39.64,35.42,31.21,32.22,33.23
08003,74.91,74.3,73.7,82.46,91.21,85.96,80.71
08005,47.06,42.49,37.92,34.56,31.21,35.16,39.12
08007,59.82,54.02,48.23,51.52,54.81,46.23,37.65
08009,8.63,10.27,11.91,9.84,7.77,5.6,3.44
08011,69.02,66.84,64.66,70.24,75.83,57.48,39.12
08013,33.43,33.2,32.98,35.68,38.38,40.03,41.69
08014,23.78,21.66,19.55,19.5,19.46,21.62,23.77
08015,24.86,18.92,12.99,11.67,10.35,9.17,7.99
08017,22.03,48.28,74.53,76.74,78.95,41.54,4.14
08019,37.76,28.32,18.88,11.6,4.33,18.78,33.23
08021,59.82,73.08,86.34,91.36,96.37,95.78,95.19
08023,94.94,93.58,92.23,94.11,95.99,95.01,94.02
08025,99.94,99.9,99.87,99.54,99.2,98.48,97.77
08027,87.68,88.43,89.18,78.08,66.97,50.1,33.23
08029,84.37,81.44,78.51,82.63,86.75,83.73,80.71
08031,43.52,36.85,30.18,27.36,24.55,31.1,37.65
08033,47.06,29.17,11.27,6.33,1.4,15.01,28.61
08035,13.59,12.43,11.27,11.86,12.45,17.2,21.96
08037,15.31,11.43,7.55,6.64,5.73,17.17,28.61
08039,38.81,35.89,32.98,21.24,9.49,7.18,4.87
08041,60.74,59.44,58.13,60.1,62.07,65.39,68.71
08043,59.82,62.91,66.0,62.27,58.54,59.98,61.43
08045,41.39,41.16,40.94,35.09,29.24,29.94,30.65
08047,21.11,17.37,13.63,10.36,7.1,6.36,5.63
08049,19.33,27.32,35.31,40.11,44.9,48.31,51.72
08051,55.21,54.73,54.25,54.53,54.81,45.1,35.39
08053,11.11,18.5,25.88,23.88,21.88,38.87,55.86
08055,93.47,94.19,94.91,60.51,26.11,17.05,7.99
08057,1.02,1.78,2.55,4.14,5.73,50.68,95.64
08059,34.54,30.86,27.19,23.86,20.54,25.6,30.65
08061,6.08,10.9,15.73,13.48,11.24,14.34,17.44
08063,28.84,26.93,25.02,32.42,39.81,32.62,25.43
08065,28.84,33.38,37.92,43.99,50.06,36.92,23.77
08067,23.78,24.83,25.88,26.0,26.11,27.36,28.61
08069,40.08,39.0,37.92,39.79,41.66,47.76,53.85
08071,57.59,60.6,63.61,72.06,80.51,84.26,88.0
08073,44.57,30.67,16.78,14.62,12.45,13.21,13.97
08075,82.87,67.02,51.16,38.64,26.11,40.98,55.86
08077,59.82,66.76,73.7,77.6,81.5,81.1,80.71
08079,0.29,2.02,3.76,3.54,3.31,33.05,62.79
08081,19.33,19.44,19.55,22.83,26.11,38.92,51.72
08083,64.02,54.52,45.02,44.03,43.03,41.08,39.12
08085,67.34,70.12,72.91,73.19,73.47,65.7,57.92
08087,22.03,26.8,31.58,31.4,31.21,33.3,35.39
08089,77.3,81.34,85.39,85.75,86.11,77.41,68.71
08091,72.78,58.23,43.68,41.74,39.81,37.6,35.39
08093,31.01,24.28,17.54,33.15,48.76,58.74,68.71
08095,24.86,15.42,5.99,4.82,3.66,2.6,1.53
08097,43.52,37.55,31.58,30.41,29.24,24.64,20.05
08099,67.34,77.67,88.0,83.86,79.71,65.72,51.72
08101,78.13,80.36,82.59,84.35,86.11,83.41,80.71
08103,10.54,14.04,17.54,31.22,44.9,55.54,66.17
08105,55.21,67.64,80.07,86.12,92.17,93.33,94.49
08107,26.81,21.27,15.73,14.09,12.45,20.53,28.61
08109,80.58,71.32,62.05,67.18,72.32,83.76,95.19
08111,98.66,92.5,86.34,48.34,10.35,36.57,62.79
08113,21.11,19.32,17.54,13.07,8.6,11.84,15.09
08115,45.62,57.99,70.36,70.02,69.68,71.93,74.19
08117,21.11,19.32,17.54,17.88,18.22,17.24,16.26
08119,58.8,57.16,55.52,59.64,63.76,46.18,28.61
08121,19.33,16.48,13.63,11.56,9.49,8.04,6.59
08123,40.08,39.0,37.92,35.46,32.99,43.42,53.85
08125,3.85,3.98,4.11,6.36,8.6,20.92,33.23
09001,64.02,66.07,68.13,70.8,73.47,75.76,78.04
09003,70.77,69.45,68.13,67.55,66.97,66.57,66.17
09005,41.39,44.81,48.23,46.56,44.9,55.54,66.17
09007,30.25,29.31,28.37,32.36,36.34,36.99,37.65
09009,71.89,71.76,71.63,72.55,73.47,74.48,75.49
09011,50.72,56.38,62.05,62.06,62.07,60.0,57.92
09013,40.08,41.24,42.41,43.66,44.9,47.22,49.55
09015,73.96,72.16,70.36,67.06,63.76,72.24,80.71
10001,64.02,65.01,66.0,61.35,56.69,64.81,72.92
10003,48.2,49.68,51.16,57.46,63.76,67.64,71.51
10005,56.45,55.35,54.25,47.03,39.81,43.62,47.42
11001,73.96,73.83,73.7,75.8,77.9,80.22,82.53
12001,51.74,52.15,52.56,56.44,60.32,56.02,51.72
12003,66.35,57.96,49.57,49.82,50.06,51.96,53.85
12005,66.35,62.91,59.47,59.0,58.54,48.83,39.12
12007,93.98,90.99,88.0,72.34,56.69,57.31,57.92
12009,84.37,81.84,79.31,70.69,62.07,57.96,53.85
12011,79.82,76.76,73.7,71.01,68.31,68.51,68.71
12013,69.02,77.2,85.39,78.86,72.32,51.48,30.65
12015,86.66,86.02,85.39,81.32,77.26,71.71,66.17
12017,93.0,92.62,92.23,89.76,87.29,87.64,88.0
12019,81.76,78.68,75.61,77.28,78.95,69.33,59.71
