FIPS,2014 EPL_CROWD,2015 EPL_CROWD,2016 EPL_CROWD,2017 EPL_CROWD,2018 EPL_CROWD,2019 EPL_CROWD,2020 EPL_CROWD,2021 EPL_CROWD,2022 EPL_CROWD
08033,61.99,72.59,83.19,63.88,44.57,22.28,0.0,28.8,57.59
08035,10.82,13.34,15.85,17.36,18.88,23.24,27.59,31.84,36.08
08037,85.2,84.85,84.5,86.8,89.11,88.76,88.42,85.76,83.11
08039,62.43,57.88,53.33,41.48,29.64,23.22,16.8,15.8,14.79
08041,67.88,67.83,67.78,70.13,72.49,72.43,72.37,66.6,60.83
08043,19.83,28.73,37.63,31.84,26.04,39.74,53.44,50.28,47.12
08045,91.72,93.22,94.72,94.75,94.78,89.4,84.02,78.82,73.62
08047,33.11,32.98,32.86,21.34,9.81,11.94,14.07,32.47,50.87
08049,77.05,80.09,83.13,69.06,54.98,58.7,62.41,43.17,23.93
08051,79.82,81.74,83.67,67.74,51.8,58.32,64.83,68.24,71.65
08053,52.15,70.91,89.68,79.16,68.64,44.3,19.96,28.02,36.08
08055,64.31,53.76,43.2,53.16,63.13,32.57,2.01,11.14,20.27
08057,91.88,45.94,0.0,3.9,7.8,17.7,27.59,16.58,5.57
08059,31.23,29.75,28.27,28.96,29.64,32.82,36.0,36.04,36.08
08061,53.84,52.08,50.33,26.31,2.29,1.14,0.0,0.0,0.0
08063,30.02,19.1,8.18,7.99,7.8,17.7,27.59,31.84,36.08
08065,78.67,82.52,86.37,76.3,66.22,36.57,6.91,15.42,23.93
08067,48.74,49.87,51.0,57.06,63.13,61.36,59.58,64.88,70.19
08069,37.19,38.75,40.31,34.98,29.64,26.7,23.77,27.88,31.98
08071,29.19,22.9,16.62,34.21,51.8,35.88,19.96,37.06,54.15
08073,42.09,23.38,4.68,5.18,5.67,4.36,3.06,7.5,11.93
08075,71.28,42.77,14.26,43.38,72.49,78.26,84.02,85.62,87.21
08077,54.19,54.21,54.22,57.36,60.49,61.45,62.41,58.28,54.15
08079,0.0,2.05,4.11,4.2,4.3,2.15,0.0,11.96,23.93
08081,40.75,45.38,50.02,61.26,72.49,66.04,59.58,66.6,73.62
08083,82.39,78.2,74.02,75.12,76.22,56.11,36.0,57.15,78.3
08085,64.25,65.31,66.38,68.51,70.65,51.24,31.83,19.53,7.22
08087,93.92,93.99,94.05,91.58,89.11,91.86,94.62,93.81,93.0
08089,80.39,75.82,71.25,50.45,29.64,34.94,40.23,60.7,81.16
08091,28.88,23.42,17.96,23.8,29.64,24.8,19.96,37.06,54.15
08093,11.27,19.65,28.02,20.12,12.23,14.52,16.8,10.42,4.04
08095,93.57,94.49,95.42,91.85,88.28,87.7,87.11,49.52,11.93
08097,48.65,49.19,49.73,39.68,29.64,49.92,70.21,66.9,63.6
08099,71.38,67.86,64.34,75.42,86.5,86.42,86.35,88.32,90.3
08101,42.38,49.08,55.78,58.14,60.49,63.96,67.44,64.13,60.83
08103,87.81,84.96,82.11,79.16,76.22,79.66,83.1,65.11,47.12
08105,85.51,88.68,91.85,91.39,90.93,89.3,87.68,78.09,68.5
08107,30.69,44.24,57.78,64.22,70.65,62.04,53.44,42.71,31.98
