FIPS,2014 EPL_NOVEH,2015 EPL_NOVEH,2016 EPL_NOVEH,2017 EPL_NOVEH,2018 EPL_NOVEH,2019 EPL_NOVEH,2020 EPL_NOVEH,2021 EPL_NOVEH,2022 EPL_NOVEH
09150,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09160,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09170,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09180,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09190,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
10001,58.87,58.44,58.01,60.0,61.99,64.59,67.19,68.34,69.49
10003,69.79,70.14,70.49,68.76,67.02,67.1,67.19,69.61,72.03
10005,20.73,21.4,22.06,20.32,18.59,17.32,16.04,17.82,19.6
11001,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62
12001,81.12,80.92,80.71,72.48,64.25,69.79,75.33,74.4,73.46
12003,13.34,10.6,7.86,5.34,2.83,4.63,6.43,15.67,24.91
12005,54.6,54.78,54.95,58.47,61.99,54.82,47.64,36.28,24.91
12007,81.12,82.92,84.72,84.32,83.92,81.57,79.22,75.63,72.03
12009,40.18,43.76,47.34,44.79,42.25,38.18,34.12,35.82,37.51
12011,74.12,73.48,72.84,71.43,70.01,69.3,68.59,69.66,70.73
12013,64.34,70.1,75.87,70.76,65.65,70.49,75.33,72.41,69.49
12015,38.2,34.75,31.3,29.88,28.46,33.9,39.34,36.52,33.69
12017,34.8,41.07,47.34,49.38,51.42,43.56,35.71,36.61,37.51
12019,14.65,11.68,8.72,7.99,7.26,12.35,17.44,18.52,19.6
12021,51.29,46.58,41.87,40.39,38.9,39.12,39.34,37.43,35.51
12023,51.29,51.61,51.93,46.38,40.82,36.64,32.46,33.07,33.69
12027,65.97,68.9,71.82,70.06,68.29,60.26,52.23,57.23,62.23
12029,32.73,53.74,74.75,79.64,84.53,79.2,73.87,59.2,44.54
12031,80.32,80.52,80.71,80.14,79.56,78.14,76.73,75.1,73.46
12033,65.97,59.68,53.39,52.4,51.42,56.14,60.85,65.79,70.73
12035,17.13,17.34,17.54,17.32,17.1,12.14,7.19,13.4,19.6
12037,83.86,69.4,54.95,49.65,44.35,51.89,59.42,63.32,67.23
