FIPS,2014 EPL_DISABL,2015 EPL_DISABL,2016 EPL_DISABL,2017 EPL_DISABL,2018 EPL_DISABL,2019 EPL_DISABL,2020 EPL_DISABL,2021 EPL_DISABL,2022 EPL_DISABL
05145,62.56,59.52,56.48,56.29,56.1,62.2,68.3,71.1,73.91
05147,96.05,96.29,96.53,96.08,95.64,89.32,83.0,76.37,69.74
05149,86.44,85.31,84.18,85.04,85.9,75.3,64.7,67.65,70.6
06001,4.81,5.08,5.35,4.79,4.23,4.04,3.85,4.0,4.14
06003,90.51,92.48,94.46,89.92,85.39,68.28,51.18,40.12,29.05
06005,73.96,75.72,77.49,75.91,74.34,71.99,69.64,69.69,69.74
06007,67.62,66.84,66.06,64.82,63.58,63.16,62.73,59.27,55.81
06009,77.17,80.48,83.79,85.98,88.16,85.58,83.0,85.0,86.99
06011,24.45,23.94,23.43,21.92,20.41,24.58,28.74,27.32,25.9
06013,10.32,11.51,12.7,12.86,13.02,12.83,12.64,11.89,11.14
06015,91.56,91.85,92.14,89.24,86.34,80.09,73.84,75.62,77.41
06017,23.02,25.74,28.46,28.46,28.46,27.28,26.1,22.68,19.25
06019,20.89,21.78,22.67,24.22,25.76,25.5,25.24,24.56,23.89
06021,67.62,68.26,68.9,65.27,61.64,53.44,45.23,33.92,22.62
06023,60.17,61.89,63.61,60.58,57.56,59.38,61.2,64.68,68.15
06025,33.4,36.26,39.13,39.48,39.83,37.02,34.21,34.75,35.28
06027,34.16,33.27,32.38,34.34,36.29,41.73,47.17,52.98,58.8
06029,16.71,14.71,12.7,12.86,13.02,13.53,14.04,13.29,12.54
06031,12.61,14.37,16.14,18.67,21.2,19.24,17.28,18.71,20.14
06033,87.33,88.35,89.37,86.1,82.84,83.16,83.48,81.68,79.89
06035,71.76,73.4,75.04,68.34,61.64,60.05,58.47,63.31,68.15
06037,6.24,6.32,6.4,6.16,5.92,6.42,6.91,7.49,8.08
06039,28.84,26.56,24.29,25.77,27.25,28.0,28.74,30.67,32.61
06041,4.39,3.98,3.57,3.26,2.96,3.07,3.18,3.84,4.49
06043,73.48,71.69,69.91,71.74,73.58,75.48,77.37,76.17,74.96
06045,62.56,63.08,63.61,62.62,61.64,64.97,68.3,71.1,73.91
06047,54.76,52.07,49.38,40.14,30.91,28.51,26.1,24.78,23.45
06049,80.01,81.08,82.14,76.7,71.25,64.02,56.78,60.5,64.21
06051,4.81,2.7,0.6,0.48,0.35,0.38,0.41,0.92,1.43
06053,3.09,3.58,4.08,3.52,2.96,3.07,3.18,3.32,3.47
06055,15.09,14.23,13.37,15.22,17.06,18.26,19.45,18.97,18.49
06057,38.78,41.48,44.19,44.34,44.48,39.34,34.21,32.49,30.77
06059,2.32,2.37,2.42,2.41,2.39,2.78,3.18,3.2,3.21
06061,12.61,12.66,12.7,11.33,9.96,9.53,9.1,10.12,11.14
06063,90.19,87.64,85.1,79.34,73.58,67.39,61.2,65.9,70.6
06065,12.61,13.53,14.45,14.47,14.49,14.85,15.21,14.46,13.71
06067,28.84,26.56,24.29,21.74,19.2,18.56,17.92,18.58,19.25
06069,3.76,4.19,4.62,4.42,4.23,5.86,7.48,8.01,8.53
06071,13.34,12.72,12.1,11.64,11.17,12.6,14.04,13.29,12.54
06073,5.76,6.08,6.4,6.0,5.6,6.06,6.52,6.86,7.19
06075,10.98,10.72,10.47,9.22,7.96,7.44,6.91,8.02,9.13
06077,18.94,19.6,20.25,20.72,21.2,21.01,20.81,19.65,18.49
06079,13.72,13.21,12.7,13.91,15.12,15.5,15.88,20.51,25.14
06081,2.23,2.18,2.13,2.14,2.16,2.05,1.94,2.21,2.48
06083,8.25,6.98,5.7,5.81,5.92,6.42,6.91,8.2,9.48
06085,1.69,1.54,1.4,1.45,1.5,1.61,1.72,2.0,2.29
06087,4.11,5.46,6.81,9.62,12.42,13.58,14.74,14.53,14.32
06089,74.59,73.78,72.97,70.96,68.96,69.98,71.01,70.38,69.74
06091,56.73,65.61,74.5,50.88,27.25,42.86,58.47,49.64,40.82
06093,83.79,83.98,84.18,81.98,79.78,77.2,74.63,71.78,68.92
06095,14.45,17.08,19.71,20.46,21.2,19.94,18.68,19.41,20.14
06097,15.09,16.79,18.5,18.85,19.2,17.54,15.88,15.61,15.34
06099,32.51,31.38,30.25,28.75,27.25,26.24,25.24,23.93,22.62
06101,36.01,33.67,31.33,32.24,33.14,27.42,21.71,26.65,31.59
06103,79.08,80.61,82.14,82.49,82.84,79.93,77.02,75.46,73.91
06105,94.08,94.35,94.62,91.39,88.16,78.23,68.3,59.1,49.89
06107,13.72,16.98,20.25,19.73,19.2,17.54,15.88,15.61,15.34
06109,74.59,78.72,82.84,80.23,77.62,80.01,82.4,84.7,86.99
06111,8.63,9.22,9.81,10.49,11.17,11.33,11.49,11.63,11.77
06113,10.32,8.7,7.07,5.56,4.04,5.76,7.48,7.34,7.19
06115,65.87,64.74,63.61,58.63,53.65,50.41,47.17,49.72,52.27
08001,10.32,10.06,9.81,9.38,8.95,9.91,10.88,10.64,10.4
08003,55.71,66.6,77.49,75.54,73.58,70.35,67.12,58.87,50.62
08005,4.52,4.17,3.82,3.58,3.34,4.12,4.9,6.3,7.7
08007,39.83,43.11,46.39,43.57,40.75,45.12,49.49,49.24,49.0
08009,94.08,95.2,96.31,91.55,86.79,81.53,76.26,70.24,64.21
08011,94.97,96.91,98.85,98.04,97.23,92.47,87.71,86.71,85.71
08013,2.32,2.22,2.13,1.91,1.69,1.7,1.72,1.94,2.16
08014,2.74,2.51,2.29,2.04,1.78,1.56,1.34,1.28,1.21
08015,44.03,49.11,54.19,58.38,62.56,52.62,42.68,33.91,25.14
08017,50.08,45.58,41.07,33.78,26.49,20.85,15.21,13.18,11.14
