FIPS,2014 EPL_SNGPNT,2015 EPL_SNGPNT,2016 EPL_SNGPNT,2017 EPL_SNGPNT,2018 EPL_SNGPNT,2019 EPL_SNGPNT,2020 EPL_SNGPNT
06081,15.38,16.18,16.97,15.44,13.91,16.31,18.71
06083,62.46,61.51,60.55,60.6,60.65,53.9,47.14
06085,25.21,24.78,24.36,21.86,19.36,21.1,22.85
06087,42.82,37.18,31.55,31.39,31.23,31.86,32.5
06089,58.55,52.78,47.02,52.39,57.75,56.55,55.35
06091,2.42,1.37,0.32,3.49,6.65,37.64,68.62
06093,48.33,44.72,41.1,38.62,36.13,27.42,18.71
06095,85.9,85.84,85.77,82.41,79.05,75.33,71.61
06097,44.44,43.78,43.11,38.73,34.35,35.48,36.6
06099,91.21,91.7,92.2,90.98,89.75,84.98,80.2
06101,69.44,77.94,86.44,86.98,87.52,84.82,82.11
06103,66.79,74.09,81.38,81.08,80.77,71.67,62.57
06105,34.77,52.6,70.42,68.72,67.02,78.4,89.78
06107,97.64,97.61,97.58,97.26,96.94,94.44,91.95
06109,23.3,20.31,17.32,13.77,10.22,15.12,20.02
06111,55.21,53.79,52.37,46.82,41.26,38.06,34.85
06113,43.2,44.12,45.05,43.16,41.26,46.25,51.24
06115,91.75,91.86,91.98,91.47,90.96,83.18,75.4
08001,84.15,85.56,86.98,86.23,85.48,79.7,73.93
08003,63.32,62.08,60.84,40.76,20.69,38.02,55.35
08005,71.86,70.09,68.32,63.85,59.38,60.23,61.08
08007,36.58,23.2,9.81,6.12,2.42,1.8,1.18
08009,7.58,8.6,9.61,15.15,20.69,24.48,28.26
08011,45.59,37.68,29.77,53.74,77.71,70.9,64.1
08013,29.04,24.94,20.85,22.35,23.85,28.18,32.5
08014,18.02,13.96,9.9,9.65,9.39,19.94,30.49
08015,53.14,38.68,24.23,21.8,19.36,50.74,82.11
08017,6.81,6.9,7.0,6.82,6.65,4.6,2.55
08019,1.94,2.78,3.63,12.16,20.69,25.59,30.49
08021,56.38,38.9,21.43,36.88,52.34,43.59,34.85
